freq	word
80	visible,kosala,indeed,relies,cattle,upset,scrutinizing,originated,surrounded,legged,“mendicant,ambaṭṭha,dragons,coercive
79	otherwise,natural,filled,kindness,explanation,kills,consented,rich,recollects,independent,seeker
78	flesh,unsurpassable,mistake,front,regards,understood:,lady,‘it,rouse,passage
77	deserving,everything,illness,fortnight,hidden,rainy,‘no,stress,rivers,nonsensical,seats,](#sn
76	clouds,law,safe,help,laywomen,beloved,possesses,generate,rulers,roused,belong,heavily,hopefully,lament,mortifier
75	attaining,wearing,within,failure,fact,includes,remote,welcome,jealousy,peril,odor,sister,bondservants,reach,lot,gate,rāma
74	variety,honored,create,succeed,show,mahākaccāna,misrepresent,season,unrestrained,change,negligent,small,mouth,arm,vacchagotta,world—abundant,foods,vajjis
73	eleven,criticize,moderation,visit,mountains,seek,stain,examine,blissful,shoulder,silence,aren’t,perceives,anointed,‘oh,ministers,thousands,‘one,traveling,fine;,prudent,whom
72	charnel,spring,happen,veneration,level,conducive,ease,guard,delicious,mortifying,stilt,fifty,‘in,‘mister,wander,stayed,reflect:,==========================================================,demonstration,dry,primary,wished,road,breast,gotama’s
71	queen,warrior,strength,burn,short,purification,persistence,======================================,continuation,we’ll,pot,inviting,bark,===========================================================,ready,solid,squirrels’,faithless,dn
70	city,laywoman,claims,apparent,bank,am’,fever,protection,glowing,imperturbable—they,served,says:,sad
69	resentment,ignoble,undertake,approaching,smell,ugliness,tamed,rādha,wear,check,ideas,eighth,‘you,dispassionate,wandered,transmigration,beating,pond,sunakkhatta
68	disciplinary,evening,comfortably,none,perform,mature,contract,unmindful,half,‘yes,yama,acute,=============================================================,washed,ghee,present;,proportioned,repulsive
67	sal,chance,correct,span,laypeople,lifespan,steals,reborn—inferior,observances,day’s,external;,memorize,performing,face,headed,slanting,steward
66	knowledges,seeks,disagreeable,twelve,hide,cunda,raṭṭhapāla,draw,“they,“for,removal,fell,inspection,rebuke,me!,sides,big,naked,quarter,grain,venerate,charioteer,closely,vehicle,“come
65	protector,protecting,prevent,reflects,points,upāli,herd,reflects:,stop,bones,“how,indulgent,examining,repeat,turns,covetous,world—with,“our,brought,all—past,superior;,bone
64	perils,laziness,proceed,real,horses,ancient,business,successful,finite,improper,quarreling,indulgence,irritable,except,scattered,meat,capital,cycle,incline,“that,refrains,unworthy,accompanied
63	thinks,serves,neglect,regret,rains,replies,lake,lacking,contempt,paying,limbs,couldn’t,gravely,kingship,dart,trainer,opportunity,engage,created,yours
62	states,slow,hears,occupy,realization,nice,led,“householder,kaccāna,unachieved,mister,walk,iron,instruct,confusion,conceived,signless,liking,‘reverends,unrepulsive,nātaputta,dirt,fuels
61	range,clever,revere,tells,breaking,dying,repulsion,sons,barrenness,process,unattained,example,associates,applying,kālāma,doubts,contains,disliking,endowed,“linked
60	purify,instead,celibate,dawn,anxious,devoted,eyesight,silly,slightest,external,reveal,commits,golden,channa,sublime,“mind,“rebirth,==============================================================,winds,dress,death’
59	snake,personal,less,unconditioned,encourages,famous,enemy,explaining,========================================,reputation,renunciates,returned,theoretically,polished,theirs,culminate,‘mind,win
58	attainments,aside,health,fails,crowd,mahākoṭṭhita,shackles,unity,exert,impingement,youth,shelter,‘please,mixed,consideration,yoke,impeccable,sir!,brahmā’s,beryl,banyan,drinking,gained,pillar,o,converge
57	followed,unprincipled,uses,respects,reveals,wives,corresponding,observe,produce,oral,settle,carry,lands,unrealized,view;,incompetent,benares,overwhelming,possessiveness,teeth,parts,softwood,taken,peaked,emptiness,bonds,decay,shorter
56	consolidated,recently,brings,male,friendship,normal,meet,puṇṇa,sweet,placed,restless,top,“indeed,ones;,‘come,sleeping,convenience,stands,describing,‘so,covered,hollow,admired,obtain,saṃyutta**\
55	domain,blind,ruin,animals,enjoyment,actually,“suppose,sinews,righting,overturned,wasn’t,offensiveness,you:,held,scope,near:,understanding:,learn,built,occasion,lots,reincarnation,this’,informed,door,splendor,floods
54	reaching,cold,lion,licchavis,blazing,liberations,sheep,clarify,previously,finishing,affluent,trivial,coals,quarters,footprint,flies,\*all\*,sought,terror,goodness,treat,wanted,worker,class,dependently
53	resident,helps,undertaking,streams,widespread,culmination,goats,recognize,stingy,thinks:,hostile,kosalans,heard:,pull,watch,hermits,holding,arrow,eaten,appear,subtle,penetrative,boy,army,fitting,brutal,deadly,pertains
52	mat,fish,rd)](,eliminate,immeasurable,pink,cloud,sway,solely,stupid,‘consciousness,all’,leagues,conscientious,rd),imperturbable,===============================================================,mallas,equanimous,mortifies,quiet,imperishable
51	descent,usually,thief,eats,devadatta,bandits,proliferation,emerge,leaders,spirits,absorptions,observed,‘equanimous,phrases,exertion,discomfort,disgusted,greeting,grasped,referring,deft,rose,gathered,size,glorify,word,pine,residence,citadel,chieftain
50	disliked,meditative,acting,violent,killed,issues,evil,man’s,vigor,vaṅgīsa,seed,issue,“brahmin,harmlessness,realizes,throw,wall,houses,island,incomplete,heirs,surpassing,instructed,esteem,implemented,inner,way:,venerated,mastering,perceive:,koṭṭhita,everlasting,wisdom:,(to,arise:
49	answering,shines,elderly,caused,tries,impure,wakefulness,possessing,bitter,‘space,subject,protect,‘not,embracing,brother,month,stars,moisture,residing,attractive,green,fulfills,perishes,egg,pokkharasāti,mahāsudassana,starves
48	topics,tissa,rough,greedy,signs,waste,described,liberated,describes,cases,radiant,stated,bandit,buddha!,weak,continually,lightly,abuse,devious,householder’s,flying,mount,teaching:,apprentice,feed,sahampati,fondness,early,emancipating,sticks,released,concentrate,manifestation
47	abbreviated,layman,follows,ajātasattu,happily,mahākassapa,protected,bit,immoral,blamed,charity,dressed,falls,punish,straw,chariots,year,hemp,maturity,ox,==================================================================,post,trunk,bathed,‘how,jotipāla,obtains,arises:,‘others
46	characteristics,obstacles,ugga,advanced,tried,attack,shows,arranged,buddhist,force,dislike,reappeared,occur,regardless,rising,period,cities,obstacle,comprehend,‘is,covetousness,creations,fragrance,luminous,companion,ended;,stories,“do,shoots,fueled,processes
45	common,authority,accused,realms,fight,visits,donor,unshakable,blame,rolled,tiny,trying,orders,offer,understands:,reputation:,ego,emerges,generous,persisting,spent,pregnant,dog,prosperous,enemies,hairs,shave,maintain,roaming,sanaṅkumāra
44	general,nakula’s,stone,existing,students,we’re,formerly,supplied,dissatisfaction,contented,inspire,provide,moral,emerging,manner,wide,ripens,kin,anguish,spend,unbroken,sixteen,kosambi,settles,world’s,seer,passes,street,spot,forward,extinguished!,āḷāra,vepacitti
43	novice,worldly,uttara,progressive,adept,bear,discuss,advise,flow,previous,insistence,step,delightful,ago,nevertheless,roars,encouraging,that:,penetrating,treasures,untied,damaged,‘with,exclusively,handed,native,retinue,acceptance,dirty,hasn’t,statements,mentally,hill,‘well,question:,sacrificial,uprooting,carrying,deceitful,disturbed,illegitimate,pointless,merchant
42	beds,criticizes,afraid,shrine,finds,conscious,occupies,“just,merchants,skeleton,run,alive,mean,trust,overwhelmed,villages,suffering;,flood,terrible,improvement,seem,magnificent,disgust,possibly,plunged,pit,quelled,broke,descend,plain,pāṭikaputta
41	schism,abodes,depending,public,doctrines,sīha,virtuous,weaken,vast,loves,samiddhi,lodging,xhtml#vagga,guarded,unlikable,urine,cutting,bearing,guarding,comfort,person\,consists,we’ve,project,completed;,done;,‘all,wait,<ol>,</ol>,absorptions—blissful,contemplate,misery,feverish,imprudent,square,diligently,drops,define,fathers,possessed,meditated,attentions,log
40	sources,patient,visiting,luxurious,observance,recollecting,bitterness,magadha,settling,towns,changing,pigs,conducting,slack,thunder,vanity,‘now,applies,earn,situation,arms,“my,vaccha,vedas,rebirths;,somewhere,reasoned,cleaned,;,approaches,guest,rest,bows,utmost,girls,acquiring,turned,“even,threefold,destiny
